,visual acuity,side,year,age,gender,n
230,"[0.0, 0.15)",right,2011,"[65.0, 70.0)",male,3301
231,"[0.0, 0.15)",right,2011,"[65.0, 70.0)",female,5008
232,"[0.0, 0.15)",right,2011,"[70.0, 75.0)",male,7927
233,"[0.0, 0.15)",right,2011,"[70.0, 75.0)",female,13609
234,"[0.0, 0.15)",right,2011,"[75.0, 80.0)",male,4391
235,"[0.0, 0.15)",right,2011,"[75.0, 80.0)",female,8249
236,"[0.0, 0.15)",right,2011,"[80.0, 85.0)",male,3088
237,"[0.0, 0.15)",right,2011,"[80.0, 85.0)",female,6536
238,"[0.0, 0.15)",right,2011,"[85.0, inf)",male,1274
239,"[0.0, 0.15)",right,2011,"[85.0, inf)",female,3717
240,"[0.0, 0.15)",right,2017,"[0.0, 20.0)",male,134
241,"[0.0, 0.15)",right,2017,"[0.0, 20.0)",female,161
242,"[0.0, 0.15)",right,2017,"[20.0, 25.0)",male,913
243,"[0.0, 0.15)",right,2017,"[20.0, 25.0)",female,2422
244,"[0.0, 0.15)",right,2017,"[25.0, 30.0)",male,2460
245,"[0.0, 0.15)",right,2017,"[25.0, 30.0)",female,4453
246,"[0.0, 0.15)",right,2017,"[30.0, 35.0)",male,2790
247,"[0.0, 0.15)",right,2017,"[30.0, 35.0)",female,3342
248,"[0.0, 0.15)",right,2017,"[35.0, 40.0)",male,2893
249,"[0.0, 0.15)",right,2017,"[35.0, 40.0)",female,2196
250,"[0.0, 0.15)",right,2017,"[40.0, 45.0)",male,3790
251,"[0.0, 0.15)",right,2017,"[40.0, 45.0)",female,5346
252,"[0.0, 0.15)",right,2017,"[45.0, 50.0)",male,3994
253,"[0.0, 0.15)",right,2017,"[45.0, 50.0)",female,5994
254,"[0.0, 0.15)",right,2017,"[50.0, 55.0)",male,4880
255,"[0.0, 0.15)",right,2017,"[50.0, 55.0)",female,7910
256,"[0.0, 0.15)",right,2017,"[55.0, 60.0)",male,4726
257,"[0.0, 0.15)",right,2017,"[55.0, 60.0)",female,7523
258,"[0.0, 0.15)",right,2017,"[60.0, 65.0)",male,6099
259,"[0.0, 0.15)",right,2017,"[60.0, 65.0)",female,10652
260,"[0.0, 0.15)",right,2017,"[65.0, 70.0)",male,4983
261,"[0.0, 0.15)",right,2017,"[65.0, 70.0)",female,7916
262,"[0.0, 0.15)",right,2017,"[70.0, 75.0)",male,7195
263,"[0.0, 0.15)",right,2017,"[70.0, 75.0)",female,11667
264,"[0.0, 0.15)",right,2017,"[75.0, 80.0)",male,5727
265,"[0.0, 0.15)",right,2017,"[75.0, 80.0)",female,9432
266,"[0.0, 0.15)",right,2017,"[80.0, 85.0)",male,4973
267,"[0.0, 0.15)",right,2017,"[80.0, 85.0)",female,9392
268,"[0.0, 0.15)",right,2017,"[85.0, inf)",male,1883
269,"[0.0, 0.15)",right,2017,"[85.0, inf)",female,5894
270,"[0.0, 0.15)",right,2016,"[0.0, 20.0)",male,165
271,"[0.0, 0.15)",right,2016,"[0.0, 20.0)",female,210
272,"[0.0, 0.15)",right,2016,"[20.0, 25.0)",male,919
273,"[0.0, 0.15)",right,2016,"[20.0, 25.0)",female,2542
274,"[0.0, 0.15)",right,2016,"[25.0, 30.0)",male,2367
275,"[0.0, 0.15)",right,2016,"[25.0, 30.0)",female,4658
276,"[0.0, 0.15)",right,2016,"[30.0, 35.0)",male,2925
277,"[0.0, 0.15)",right,2016,"[30.0, 35.0)",female,3401
278,"[0.0, 0.15)",right,2016,"[35.0, 40.0)",male,2854
279,"[0.0, 0.15)",right,2016,"[35.0, 40.0)",female,2066
280,"[0.0, 0.15)",right,2016,"[40.0, 45.0)",male,3738
281,"[0.0, 0.15)",right,2016,"[40.0, 45.0)",female,5428
282,"[0.0, 0.15)",right,2016,"[45.0, 50.0)",male,4118
283,"[0.0, 0.15)",right,2016,"[45.0, 50.0)",female,6030
284,"[0.0, 0.15)",right,2016,"[50.0, 55.0)",male,5012
285,"[0.0, 0.15)",right,2016,"[50.0, 55.0)",female,7749
286,"[0.0, 0.15)",right,2016,"[55.0, 60.0)",male,4785
287,"[0.0, 0.15)",right,2016,"[55.0, 60.0)",female,7703
288,"[0.0, 0.15)",right,2016,"[60.0, 65.0)",male,5980
289,"[0.0, 0.15)",right,2016,"[60.0, 65.0)",female,10725
290,"[0.0, 0.15)",right,2016,"[65.0, 70.0)",male,5204
291,"[0.0, 0.15)",right,2016,"[65.0, 70.0)",female,8406
292,"[0.0, 0.15)",right,2016,"[70.0, 75.0)",male,7653
293,"[0.0, 0.15)",right,2016,"[70.0, 75.0)",female,12819
294,"[0.0, 0.15)",right,2016,"[75.0, 80.0)",male,5250
295,"[0.0, 0.15)",right,2016,"[75.0, 80.0)",female,9099
296,"[0.0, 0.15)",right,2016,"[80.0, 85.0)",male,4662
297,"[0.0, 0.15)",right,2016,"[80.0, 85.0)",female,8966
298,"[0.0, 0.15)",right,2016,"[85.0, inf)",male,1699
299,"[0.0, 0.15)",right,2016,"[85.0, inf)",female,5509
300,"[0.0, 0.15)",right,2015,"[0.0, 20.0)",male,201
301,"[0.0, 0.15)",right,2015,"[0.0, 20.0)",female,217
302,"[0.0, 0.15)",right,2015,"[20.0, 25.0)",male,934
303,"[0.0, 0.15)",right,2015,"[20.0, 25.0)",female,2393
304,"[0.0, 0.15)",right,2015,"[25.0, 30.0)",male,2490
